multicoloured,ba-ru-ma-am
dark coloured,e-ti-um
black wool,a-tu
inferior quality of tin,ta-ß-§um
to know,i-du
"suckling, ass foal",wa-ni-qum
extra,wa-tar-tum
yellow,er-qum
slave(s),wardum
multicoloured,bar-ru-mum
"dyed textiles"", no akkadian provided)
However, I will reformat to remove empty and non-english/Akkadian pairs:
1. (""multicoloured",ba-ru-ma-am
dark coloured,e-ti-um
black wool,a-tu
inferior quality of tin,ta-ß-§um
"suckling, ass foal",wa-ni-qum
extra,wa-tar-tum
yellow,er-qum
slave(s),wardum
watium,wa-Df-um
multicoloured,bar-ru-mum
yellow,er-qû-tint
dark coloured,é-ti-um
reddish,ma-ak-rüm
bright red,pe-lu-tam
white,pa-as-û-tim
white,pd-as-û-tim
yellow,er-qû-tum
dark coloured,wa-ti-um
reddish,ma-ak-rü
white,pe-Şâtum
yellow,er-qû-tint
dark coloured,é-ti-um
reddish,ma-ak-rüm
bright red,pe-lu-tam
white,pa-as-û-tim
white,pd-as-û-tim
white,pe-Şâtum
royal quality,LUGAL
royal quality,§àr
top quality,§àr
royal quality,LUGAL-r a
royal quality,à r
To add to (on top of) his,a-şé-er
loose tin,AN . NA
he sold one burâ'um-,i-şal-ti-şu I TIG bu-ra-am
textile en route;,a-si-mi-im i-ha-ra-nim
six minas of tin,6 ma-na AN . NA
was its price.,si-im-su I ma-na KÙ.BABBAR
I mina of silver,I ma-na KÙ.BABBAR
I sent to meet him;,a pâ-ni-su û-sé-bi4-il5
six minas of tin,6 ma-na AN . NA
in Zalpa I gave,i-Za-al pâ
to him.,a-di-sum
20 minas of,20 ma-na
(copper) sickles,ni-gd-li
to Zalpa,a-na Za-al pâ
I sent to him.,û-sé-bi4il5-sum
"All this, on top of",mi-ma a-nim a-şé-er
"his \""loose tin\""",AN . NA qâ-ti-su a-na
I gave,û-ra-di-sum
"extra to Aur-bäti, slave",A-sùr--ba-ı s-ti 1R
"of Kulumâ\""",sa Ku-lu-ma-a
since the 5o minas 5 shekels of loose tin,i9ff
61/2 minas was left over from the loose tin of A,6 1/2 ma-na i-na 2 AN . NA-ak qd-tim 3 sa A
10 shekels of silver I gave to him as datum,IO GIN KÛ . BABBAR a-na qd-ti-§u if a-di-in da-tum
to add to (on top of) his,a-şé-er
loose tin,AN . NA
six minas of tin,6 ma-na AN . NA
one mina of silver,I ma-na KÙ.BABBAR
in Zalpa I gave,i-Za-al pâ
20 minas of,20 ma-na
"all this, on top of",mi-ma a-nim a-şé-er
"his \""loose tin\""",AN . NA qâ-ti-su a-na
I gave extra,û-ra-di-sum
61/2 minas was left over from the loose tin of A,6 1/2 ma-na i-na 2 AN . NA-ak qd-tim 3 sa A
10 shekels of silver I gave to him as datums,IO GIN KÛ . BABBAR a-na qd-ti-§u if a-di-in da-tum
shortage of loose tin,ma-ld i-kà-ku-du-ku-ni-ni
I gave him io shekels of silver as pocket-money,ma-ah-ri-ni
"let him deduct (from it) all the datum which he incurs, and give you the rest",i p-qi-dam ik-tù
Unto Ennum-Bélum speak,a-na En-num--be-lûm qi-bi-ma
Thus Usur-ga-Ashur,um-ma U-stii-ur--ka--A -kur-ma
"24 §urum-textiles, 2 kutdnum-textiles, one black donkey",24 TeG 5u-ru-tim 2 T[JG ku-ta-nu I ANSE sâ-la-mu-um
4 minas of loose tin,4 ma-na AN . NA qd-tim
your brother entrusted to me in the City,i-na a-lim aqıu-kà
From the City until Puhitar the datum amounted to 3 minas,a-lim1' a-di Pu-hi-tdr 3 ma-na . TA da-tum
10 shekels each (person) the head-tax,r0 GIN . TA qd-qd-da-tim
Send 15 shekels of silver to meet me,r5 GIN KÙ . BABBAR a-na pd-ni-a ké-bi-lam
You have made me lose my prestige,ta-dk-ku-ni-ma
by leaving behind for me tin and copper in sealed condition,AN . NA e-ru-am tù-a-ak-ni-ile-ma té-zi-ba-am
shortage of loose tin,ma-ld i-kà-ku-du-ku-ni-ni
pocket-money,KÙ.BABBAR
Unto Ennum-Bélum speak,a-na En-num--be-lûm qi-bi-ma
loose tin,AN . NA qd-tim
head-tax,qd-qd-da-tim
Send 15 shekels of silver to meet me,r5 GIN KÙ . BABBAR a-na pd-ni-a ké-bi-lam
shortage of loose tin,datum
give,i-kà-ku-du-ku-ni-ni
Unto Ennum-Bélum speak,a-na En-num--be-lûm qi-bi-ma
Thus Usur-ga-Ashur,um-ma U-stii-ur--ka--A -kur-ma
pocket-money,KÙ.BABBAR
loose tin,AN . NA qd-tim
head-tax,qd-qd-da-tim
From City until Puhitar,a-lim1' a-di Pu-hi-tdr
shortage,da-tum
you have made lose prestige,ta-dk-ku-ni-ma
in all you have deposited 28 2/3 minas 8 shekels of silver,SU . NIGIN2 28% ma-na 8 GfN 16 KÙ . BABBAR na-ad-a-tù-nu
the datum incurred amounted to 15 minas each,15 ma-na . TA da-tum ik-§u-ud-ma
I booked 28 2/3 minas 8 shekels in the bït karim,28 % ma-na 8 GfN KÙ . BABBAR É kà-ri-im al pu-ut
I booked you in the bit kdrum for 18x/2 minas in all,§u. NIGIN2 181/4 ma-na 11' É kà-ri-im alpu-ut-kà
the datum incurred amounted to 20 minas each,20 ma-na . TA da-tum ik-su-ud-ma
the datum amounted to 12 minas each,12 ma-na . TA da-tum 2 ik-§14-ud
"After 12 minas of silver, your datum, have been paid, you can take 2/3 mina 6% shekels of silver",i~-tù 3 12 ma-na da-at-kà 4 âp-lu-ni 2/3 ma-na 6% GiN 5 KÙ . BABBAR sa 6 scd -sa-tim ta-ld-qé
"of the 27 minas, the datum which we incurred",i-na 27 ma-na 2 da-tum sa 3 ik-su-du-ni-a-tiı-ni
A has deposited 4 2/3 minas of silver as his share,4 2/3 ma-na KÙ . BABBAR 5 A qâ-sû 6 na-di
I myself paid his datum amounting to 22 minas,22 ma-na 7 a-na-ku da-a-si 8 ds-qûl
in all you have deposited 28 2/3 minas 8 shekels of silver,SU . NIGIN2 28% ma-na 8 GfN 16 KÙ . BABBAR na-ad-a-tù-nu
the datum incurred amounted to 15 minas each,15 ma-na . TA da-tum ik-§u-ud-ma
I booked (subscribed for?) 28 2/3 minas 8 shekels in the bït karim,28 % ma-na 8 GfN KÙ . BABBAR É kà-ri-im al pu-ut
I booked you in the bit kdrum for 18x/2 minas (of silver) in all,§u. NIGIN2 181/4 ma-na 11' É kà-ri-im alpu-ut-kà
the datum incurred amounted to 20 minas each,20 ma-na . TA da-tum ik-su-ud-ma
the datum amounted to 12 minas each,12 ma-na . TA da-tum 2 ik-§14-ud
the datum which we incurred,i-na 27 ma-na 2 da-tum sa 3 ik-su-du-ni-a-tiı-ni
A has deposited 4 2/3 minas of silver as his share,4 2/3 ma-na KÙ . BABBAR 5 A qâ-sû 6 na-di
to enter the palace,a-şé-er É . GAL-him
to smuggle,hazzurum
lagern,Lager-gebühr
to hide,ia.zdrum
to smuggle,"Waren vor dem Zoll verbergen, schmuggeln"
Geheimdepot,pazzurtum
