excretion,hi-lcd-at
refined silver,sa-ru ßi-im
loss of weight,mu_\ntd-it
spoiled,mu-su -ka -u
washing,ma-sà-im
refining,ma-sà-im
loss of weight,i-ba-§i -u
shekels of silver,GÎN KÙ .BABBAR
under your seal(s),ku-nu-ki-kà
blacksmith,na-pd-hi-im
wood,e-şi
spoiled (silver),mu-si -kà-z
diminished,i-b[i4-t]i-iq
refined silver,KÙ . BABBAR ku-nu-ki-kà
washing,i-na ma-sà-im im-ti
exudation,hi-lum
Harz,hilum
minderwertige Bestandteile v. Silberlegierungen,mu-si -kà-u
 inferior silver slag,mu-ta-i
losses of weight,lu ki-ib-sa-tumx
excretion,hi-lcd-at
refined silver,sa-ru ßi-im
loss of weight,mu_\ntd-it
spoiled,mu-su -ka -u
washing,ma-sà-im
6 1/2 shekels of silver,6 1/2 GÎN KÙ .BABBAR
2/3 shekel,/ GI N
under your seal(s),ku-nu-ki-kà
18 minas of silver,18 ma-na KÙ . BABBAR
inferior silver slag,mu-ta-i
kibsdtum or loss of weight,lu ki-ib-sa-tumx lu mu-ta-i
"for (paying off the debt of) the merchandise, which we took on credit in the house of a money-lender, you sent only the original amount",i-na pa-ta-qi-im
the original amount,gimtum
of silver,KÙ.BABBAR
"because we not only had to pay interest, but also refined the silver",ma-ah-ri-ni
you sent,a-hi-kà
the creditor still had a claim on us,NE .k û . lu h . h a . bi
and consequently retained our tablet (bond),NE . k û . a g . bi
freinte résultant de la fonte,NE .k û . lu h . h a . bi
freinte causé par le travail,NE . k û . a g . bi
the loss of weight is very small,imti
"from 0,25 to 0,50%",ca. 0
"this standard, however, obtains only in special cases",ca. 0
the finishing treatment of the rings causes an additional loss,Sum. ZAG. BAR. bi
"the principal, initial amount of silver",Bab. qaqqad kaspim
"after it (the silver) had been melted down, it became 12/3 shekel silver less",ihhalişma I2/3 GfN KÛ . BABBAR imt2
"a loss of 1,7%","1,7%"
il y a eu freinte,marcıqum
abge-rieben werden,abge-rieben werden
Hörfehler?,Hörfehler?
for the merchandise,ma-ah-ri-ni
the original amount,gimtum
silver,KÙ.BABBAR
freinte résultant de la fonte,NE .k û . lu h . h a . bi
freinte causé par le travail,NE . k û . a g . bi
the loss of weight,imti
the finishing treatment of the rings causes an additional loss,Sum. ZAG. BAR. bi
"the principal, initial amount of silver",Bab. qaqqad kaspim
"after it (the silver) had been melted down, it became 12/3 shekel silver less",ihhalişma I2/3 GfN KÛ . BABBAR imt2
loss,im-tıı-ıı
melted down,i-na pa-ta-qi-im
refining,masä'-um .... mata'um
merchandise,ma-ah-ri-ni
silver,KÙ.BABBAR
original amount,gimtum
melted down,i-na pa-ta-qi-im
refined,masä'-um .... mata'um
loss,im-tıı-ıı
less,ihhalişma I2/3 GfN KÛ . BABBAR imt2
"x minas 5 shekels of silver, a debt of A. C declared to B: 'your I-mina weight is too small (defficient)!'","i-na, ma-ah-ri-ni, KÙ.BABBAR, a-hi-kà"
"thereof 16 minas of silver, weighed out with the I-mina weight of the kdrum, we gave to A.","sÀ . BA, 16 ma-na KÙ . BABBAR, i-i- ma-na-im"
2/3 mina of liti-silver of good quality the (weight of the) silver has been verified by means of my weights of 1/2 mina and 10 shekels —A gave as loan to B from Talhad. He will pay back within one month. Witness C son of D,"2/3 ma-na KÙ . [BABBAR], li-t2 SIG5, i-na 1/2 ma-na-"
21/2 minas of refined silver the (weight of the) silver has been verified by means of my (sc.Enlil-bäni's) mina weight —A owes to Enlil-bini,"2% ma-na KÙ . BABBAR, sa-ru-pd-am, i-na ma-na-i-a"
"B paid to C x minas 5 shekels of silver, a debt of A.",i-di-§u-um
"thereof 16 minas of silver, weighed out with the I-mina weight of the kdrum, we gave to A.","16 ma-na KÙ . BABBAR, i-i- ma-na-im"
2/3 mina of silver of good quality,"2/3 ma-na KÙ . BABBAR, li-t2 SIG5"
21/2 minas of refined silver,2% ma-na KÙ . BABBAR
your I-mina weight is too small (defficient)!,ma-ah-ri-ni
He gave him 1 1/2 shekel of silver,1 1/2 GIN KÙ . BABBAR
weighed out with my weights of 1/2 mina and 10 shekels,"i-na 1/2 ma-na- , 10 GIN-i-a"
A owes to Enlil-bini,a-na  dEN . LIL
"B paid to C x minas 5 shekels of silver, a debt of A.",i-di-§u-um
"thereof 16 minas of silver, weighed out with the I-mina weight of the kdrum, we gave to A.","sÀ . BA, 16 ma-na KÙ . BABBAR, i-i- ma-na-im"
2/3 mina of liti-silver of good quality,"2/3 ma-na KÙ . [BABBAR], li-t2 SIG5"
21/2 minas of refined silver,"2% ma-na KÙ . BABBAR, sa-ru-pd-am"
your I-mina weight is too small (defficient)!,ma-ah-ri-ni
He gave him 1 1/2 shekel of silver,1 1/2 GIN KÙ . BABBAR
weighed out with my weights of 1/2 mina and 10 shekels,"i-na 1/2 ma-na- , 10 GIN-i-a"
A owes to Enlil-bini,a-na  dEN . LIL
"the weight of the silver has been established, verified",kaspum waddü
bring back,tudrum
on top of the 1-mina-weight (of the (bit-) kdrim),aşşér I mand'im (sa (bit) kdrim)
return bring back,ta-ur-ma
x shekels each,x-GfN-um
brought back on top of the silver,aşşér kasiim ta'urma
in addition to,aşşér
verified,uddü
"they will bring back, return",utarrü(ma)
bring back on top of,aşşér I mand'im
the silver,kaspum
1/2 shekel,1/2 GfN-um
1 1/4 shekels,11/4 GfN . TA
1/2 GIN . TA,1/2 GfN . TA
x-ta-ki-is,x-ta-ki-is
zı-to-ru,zı-to-ru
 Creditor,C
 Debtor,D
beginning,i-na
the amount of (refined) silver,ma-ah-ri-ni
 Creditor,C
 Debtor,D
"the weight of the silver has been established, verified",kaspum waddü
bring back,tudrum
on top of the 1-mina-weight (of the (bit-) kdrim),aşşér I mand'im (sa (bit) kdrim)
return bring back,ta-ur-ma
x shekels each,x-GfN-um
brought back on top of the silver,aşşér kasiim ta'urma
in addition to,aşşér
verified,uddü
"they will bring back, return",utarrü(ma)
1/2 shekel,1/2 GfN-um
1 1/4 shekels,11/4 GfN . TA
x-ta-ki-is,x-ta-ki-is
zı-to-ru,zı-to-ru
"let him buy for half of the silver textiles, for half of the silver tin, according to his own choice, in such a way that he can make profit",sa mi-sa-al KÙ.BABBAR TLJG.HI.A sa mi-sa-al KÙ.BABBAR AN.NA a-na a-me-er e-ni-ku sa ba-ld-tf-su li-is-a-ma
"buy over there, as purchases in the City, for half of our silver kutcnü-textiles of medium quality and for half of the silver tin —a fair purchase which allows him a profit",a-ma-kam si-ma-am sa a-lim sa mi-scul KÙ.BABBAR Ji-ni TûG ku-ta-ni qd-db-li-tı-tim tiı sa mi-sdl KÙ.BABBAR AN.NA si-ma-am wa-as-ma-am sa ba-lâ-ti-su sa-ma-ninim
"let them buy for half (of the silver and gold, mentioned in 1.6f.) tin and for half of it textiles of the best and second quality",sa mi-is-lim AN.NA sa mi-is-lım TÛG.HI.A SIG5-tim ù tdr-di-if-tim li-is-iı-mu-ma
"as for the rest of your silver, according to your instruction we bought for half of it tin and for half of it textiles, which A is bringing to you",sf-ti KÙ.BABBAR-kà a-ma-ld té-ey-ti-kà mi-is-lam AN.NA mi-is-lam TI G.HI.A ni-is-<a>-ma A i-ra-di-a-kum
"let him buy for half of the silver textiles, for half of the silver tin, according to his own choice, in such a way that he can make profit",sa mi-sa-al KÙ.BABBAR TLJG.HI.A sa mi-sa-al KÙ.BABBAR AN.NA a-na a-me-er e-ni-ku sa ba-ld-tf-su li-is-a-ma
