our father's house,É a-bi-a
"Save my father's house, my own, and the ancestral spirits of my father's house","i-a,-[a]m ù e-ta-me É a-bi-a I e-té-er"
Clear the affairs of your father's house! No evildoer should harm you!,É a-bi-ku-nu za-ki-a ma-ma-an s'a li um i na sé-ri-ku-nu la i-sa-la
our father's house,É a-bi-a
"Save my father's house, my own, and the ancestral spirits of my father's house","i-a,-[a]m ù e-ta-me É a-bi-a I e-té-er"
ancestral spirits,e-ta-me
father's house,É a-bi-a
Clear the affairs of your father's house! No evildoer should harm you!,É a-bi-ku-nu za-ki-a ma-ma-an s'a li um i na sé-ri-ku-nu la i-sa-la
save,e-té-er
clear,za-ki-a
evildoer,s'a li um
in,i-na
house,É
my father's house,É a-bi-a
 ancestral spirits of my father's house,e-ta-me É a-bi-a
Yes,i-na
as follows,ma-ah-ri-ni
to him,a-hi-kà
in our presence,i-na ma-ah-ri-ni
Pay the debt of your brother,ha-bu-ul : a-hi-kà :lua-na-kam:
both here and abroad,i-na GANA-lim su-qu-ul-ma
and then go and take it again out of your brother's silver,ù a-lik-ma : i-na KÙ.BABBAR-ap a-h i-kà : le-qé
If there is no silver belonging to your brother,su-ma[KÙ.BABAR]-ap a-hi-kàla-su i-na na-ru-qi-kà
then pay out of your joint-stock capital,su-qul
My dear sister,a-ha-ti a-ti be-el-ti a-ti
my dear lady,a-ha-ti a-ti be-el-ti a-ti
if there is any silver there of our father's house,i-na KU.BABBAR s'a E a-bi4-ni
then satisfy Idaya's son,DUMU I-da-a-a tà-i-bi4
If you do not wish to,su-ma la li-bi4-ki
do that,a-[ma]-kam É-ti-a Pi-la-ah-A-sùr li-di-ma tam-kà-ri lu-sa-bi4
In accordance with the missive I sent to you,a-ma-la na-as-pè-er-tim sa as-pu ra-ki-ni
Innaya has here discussed-with the customers in your name and in the name of your father's house,I-na-a a s'u ma ki it a-na su-mi É a-bi-ki tam-kà-ri e-ta-uru
I also entrusted 40 minas of refined silver that was in the name of my father's house to Pilah-Istar,u a-ha-ma 40 ma-na KÙ.BABBAR sa-ru-pa-am sa a-na su-mi É a-bi4-a a-na Pl-/ la-ah-Is[tar] ap-qi-id
Out of Idin-Suen's copper Tab-Assur received 13 talents 20 minas of poor copper on behalf of his father's house and Alili,i-na URUDU sa I-di-Su-in 13 GU 20 ma-na URUDU la-mu-nam DU 10-A-sur ki-ma É a-bi-su ù [A] li li il5 qe
Iddin-abum owes 8 minas of refined silver to Kula,8 ma-na KU ka-ru-pa-[am] i-sé-er I-di-a- bi4 -im Ku-la
Reckoned from the week of Hapi-ahsu and Sukallia he must go to the City within 25 weeks,i-su is-tù . ha-mu-us-tim sa su\\nù Su kà lia a-na 25 ha-am-sa-/tim a-na A-limé` i-la-ak-ma
and together with his investors he must write Kula's name for 2 minas of gold,is-ti um-mi-a-ni-su 2 ma-na KÙ.GI su'-mi . Ku la i la pa at
"Immediately after the death of Salim-Assur the younger son Al-ahum, who had been with the father in the city Durhumit when he died, wrote to his brother Ennam-Assur: Sadly, our father has died. It is not Salim-Assur who is our father, it is you who are our father. Take care there of our father's instructions and clear the affair.",la li-bi i-li-ma a-bu-ni : me-et la SCaI-ma-A-sur a-bu-ni a-ta a-bu-ni a-ma-kam a-na ti-ir-ti; a-bi4-ni i-hi-rid-ma za-ki-i
